stair1_50,,ascentVelocity,ascentDistance,ascentTime,descentVelocity,length,verticalDistance,totalDistance,maxVelocity,maxVelTime,maxVelSlope,lastY,maxY,startDeltaTimeVelocity,afterCrossVelocity,total count
,SD,0.077968164,0.023377178,0.036851688,0.057677869,10.81783712,0.007511338,0.105578787,0.570507277,0.228809026,13.27696141,0.007885598,0.023260991,0.127144369,0.088377515,
Second Foot,,,,,,,,,,,,,,,,
,avg,0.692900596,0.33619229,0.49466172,0.249811604,72.38,0.261606756,0.640520326,1.45723861,0.22044224,7.542009526,0.265281327,0.339866861,0.63743872,1.182393106,50
,SD,0.091355863,0.019030187,0.087297113,0.089018303,6.758372585,0.009468472,0.075640256,0.270499815,0.13523251,2.433953077,0.009287318,0.018370209,0.148804398,0.111409964,
Last Foot,,,,,,,,,,,,,,,,
,avg,0.514064866,0.235581871,0.45932874,0.326120866,69.9,0.133094955,0.519144361,1.105536675,0.24733086,5.125885196,0.262541395,0.365028311,0.515389656,0.700861624,50
,SD,0.034929628,0.019679717,0.039353023,0.072406696,5.47813837,0.004636345,0.085278402,0.524959658,0.166987795,1.587042599,0.007321208,0.020555763,0.06641118,0.105957934,
Net speed(second),,,,,,,,,,,,,,,,
,avg,0.423790571,0.199762644,0.4766619,0.22660669,72.38,0.125322936,0.480974962,1.166740797,0.14799852,15.51828322,0.142665187,0.217104895,0.840672754,0.873564018,50
,SD,0.064105512,0.01890819,0.042817014,0.049360339,6.758372585,0.019243483,0.077839214,0.319078191,0.17617772,11.63848281,0.019051666,0.019870253,0.126904803,0.110566913,
Net speed(last),,,,,,,,,,,,,,,,
,avg,0.241725187,0.106307315,0.43932894,0.338701144,69.9,-0.006867825,0.387466547,0.800355684,0.16177616,10.26442612,0.001797015,0.114972155,0.454594846,0.441039675,50
,SD,0.043595268,0.021827657,0.040012561,0.083975334,5.47813837,0.012071915,0.095871741,0.556079161,0.209006859,12.50509721,0.006564368,0.026894274,0.096269196,0.111322822,
stair1_100,,ascentVelocity,ascentDistance,ascentTime,descentVelocity,length,verticalDistance,totalDistance,maxVelocity,maxVelTime,maxVelSlope,lastY,maxY,startDeltaTimeVelocity,afterCrossVelocity,total count
Head 1,,,,,,,,,,,,,,,,
,avg,0.267819247,0.1437977,0.56177216,0.016062116,58.2,0.140864,0.36112473,0.610686707,0.05511056,15.09383682,0.1284245,0.1313582,0.491540365,1,50
,SD,0.058568927,0.00645707,0.116959518,0.022569196,5.223025943,0.008304428,0.146142623,0.08312888,0.047710587,7.08736625,0.012494793,0.01065583,0.051365348,0,
Head 2,,,,,,,,,,,,,,,,
,avg,0.237663188,0.1395851,0.59821624,0.024388088,60.8,0.1366464,0.22677567,0.553671137,0.04399956,13.44208114,0.2626543,0.265593,0.433575136,1,50
,SD,0.029194097,0.009358827,0.09894057,0.027008551,6.773477689,0.010439828,0.024370109,0.121646847,0.025527266,9.997074014,0.010500693,0.008863625,0.052388972,0,
First Foot,,,,,,,,,,,,,,,,
,avg,0.650808489,0.194351726,0.30066366,0.257799589,52.2,0.121697688,0.449109031,1.399456825,0.18088708,19.51983605,0.125861619,0.198515658,0.962321762,0.611163807,50
,SD,0.090394749,0.023572246,0.02805698,0.064165614,6.222539674,0.007647133,0.09563755,0.664314079,0.195174954,15.61483406,0.007646959,0.02330323,0.106691056,0.128785217,
Second Foot,,,,,,,,,,,,,,,,
,avg,0.837601079,0.339147756,0.40866258,0.277201201,61.82,0.261377784,0.6521233,1.736661147,0.1544429,11.78562837,0.264106335,0.341876307,0.895355849,1.362457838,50
,SD,0.098549552,0.019556698,0.036126302,0.053384626,4.2740613,0.01302321,0.069322315,0.228569229,0.032450969,3.112129103,0.01245951,0.018557403,0.168035943,0.174017485,
Last Foot,,,,,,,,,,,,,,,,
,avg,0.586877957,0.229610424,0.39199608,0.347120598,60.8,0.133923584,0.53085467,1.388584286,0.22310888,7.174346905,0.261391786,0.357078626,0.640467664,0.72998776,50
,SD,0.043596753,0.017379645,0.024848926,0.072374209,6.773477689,0.004183176,0.146294374,0.989341116,0.15352234,3.322285504,0.007593245,0.017311144,0.077171783,0.113281204,
Net speed(second),,,,,,,,,,,,,,,,
,avg,0.512846078,0.202820364,0.3988849,0.317856284,61.82,0.110246084,0.497023509,1.3922207,0.06822154,26.40194477,0.125196215,0.217770495,1.023993281,1.012925393,50
,SD,0.068525354,0.018406626,0.034300433,0.057688419,4.2740613,0.016219513,0.070376451,0.373054844,0.032356483,15.81958461,0.019653088,0.01963934,0.145856788,0.182157803,
Net speed(last),,,,,,,,,,,,,,,,
,avg,0.282029965,0.105184338,0.37266294,0.363781509,60.8,-0.002722816,0.401446645,1.081278013,0.11866548,24.32408787,-0.001480434,0.10642672,0.558640656,0.45802544,50
,SD,0.038112696,0.01626138,0.023748447,0.078498478,6.773477689,0.012457504,0.15031014,1.053569193,0.160421294,23.19548553,0.009801002,0.022608259,0.08122235,0.095144177,
stair2_50,,ascentVelocity,ascentDistance,ascentTime,descentVelocity,length,verticalDistance,totalDistance,maxVelocity,maxVelTime,maxVelSlope,lastY,maxY,startDeltaTimeVelocity,afterCrossVelocity,total count
Head 1,,,,,,,,,,,,,,,,
,avg,0.349026786,0.28462566,0.82954726,0.046506915,97.22,0.27191268,0.466965704,0.787462875,0.11066556,11.10783911,0.23956708,0.25228006,0.586185312,1,50
,SD,0.050361392,0.019989679,0.110901139,0.028123806,9.016185446,0.016912156,0.048281154,0.256717115,0.083056787,7.668013743,0.014166998,0.015624934,0.079597325,0,
Head 2,,,,,,,,,,,,,,,,
,avg,0.321375695,0.28270556,0.88799112,0.01056473,86.74,0.28161194,0.448043685,0.717053371,0.13288756,10.32800599,0.51621218,0.5173058,0.538699637,1,50
,SD,0.035432637,0.013951697,0.08399916,0.018050735,7.290569251,0.014141545,0.032782925,0.248882077,0.130505021,10.1892068,0.013536551,0.013461913,0.076852449,0,
First Foot,,,,,,,,,,,,,,,,
,avg,0.71294835,0.336379563,0.48577292,0.230062175,75.38,0.254832673,0.637645905,1.491736045,0.20155354,11.57248801,0.26097921,0.3425261,0.929731953,0.443092687,50
,SD,0.135588996,0.023729442,0.083799041,0.053822214,11.90275598,0.007662501,0.079520658,0.617517539,0.157776356,11.32897274,0.007257224,0.023938756,0.29517473,0.131689612,
Second Foot,,,,,,,,,,,,,,,,
,avg,0.858108457,0.604606881,0.71421508,0.237373161,97.22,0.517034143,1.042441417,1.938444424,0.3966627,5.55649506,0.522590718,0.610163456,0.593443205,1.368788468,50
,SD,0.116676106,0.02825136,0.079069111,0.045724631,9.016185446,0.012458293,0.103684426,0.809482868,0.18852391,3.093619583,0.012508816,0.028599574,0.077900847,0.308409199,
Last Foot,,,,,,,,,,,,,,,,
,avg,0.605795721,0.37135393,0.61821604,0.320650287,86.74,0.261932158,0.716828835,1.134864009,0.31288576,4.008891901,0.52159781,0.631019582,0.545185897,0.770601896,50
,SD,0.053662919,0.017517283,0.067210438,0.074415921,7.290569251,0.012376617,0.06045739,0.261673942,0.086276325,1.662710826,0.010504753,0.017920153,0.083398172,0.088379366,
Net speed(second),,,,,,,,,,,,,,,,
,avg,0.469994517,0.324551741,0.70132632,0.207999074,97.22,0.245121463,0.716615002,1.475768698,0.30044144,9.811633154,0.282834618,0.362264896,0.819893958,0.909334473,50
,SD,0.075549153,0.026398949,0.07974076,0.054756609,9.016185446,0.017336083,0.107694043,0.672618218,0.263983518,13.1084167,0.019212987,0.033174818,0.246337511,0.290263252,
Net speed(last),,,,,,,,,,,,,,,,
,avg,0.199077573,0.11420168,0.57754978,0.351303273,86.74,-0.019679782,0.463197584,0.599268113,0.13955416,6.498035963,0.00519661,0.139078072,0.43048806,0.373799478,50
,SD,0.047608218,0.026505184,0.076156645,0.087221705,7.290569251,0.014005151,0.097079611,0.161070849,0.156962844,5.63188385,0.013217677,0.029139368,0.115186909,0.112866972,
stair2_75,,ascentVelocity,ascentDistance,ascentTime,descentVelocity,length,verticalDistance,totalDistance,maxVelocity,maxVelTime,maxVelSlope,lastY,maxY,startDeltaTimeVelocity,afterCrossVelocity,total count
Head 1,,,,,,,,,,,,,,,,
,avg,0.451526749,0.27527994,0.62421598,0.07618453,75.18,0.25720624,0.525969788,0.864433444,0.06755488,17.88238101,0.2267109,0.2447846,0.734434344,1,50
,SD,0.069551354,0.015674025,0.102503175,0.051586332,5.267599074,0.020409582,0.170264137,0.117579099,0.045532873,12.11774708,0.016697338,0.015051646,0.090328333,0,
Head 2,,,,,,,,,,,,,,,,
