stair1_50,,ascentVelocity,ascentDistance,ascentTime,descentVelocity,length,verticalDistance,totalDistance,maxVelocity,maxVelTime,maxVelSlope,lastY,maxY,startDeltaTimeVelocity,afterCrossVelocity,total count
Head 1,,,,,,,,,,,,,,,,
,avg,0.184891461,0.13429881,0.737029667,0.020164476,83.8125,0.130040112,0.239115987,0.372332221,0.196062854,1.995460244,1.791036504,1.795295201,0.165563451,1,48
,SD,0.031540025,0.014884465,0.087055865,0.010838294,9.769545047,0.01481753,0.029001157,0.067893598,0.043240779,0.569564498,0.327104275,0.32700243,0.028687938,0,
Head 2,,,,,,,,,,,,,,,,
,avg,0.178390607,0.136294145,0.781242187,0.013367907,81.25,0.133765441,0.232714857,0.363769044,0.209951604,1.809235581,1.932046127,1.93457483,0.159612698,1,48
,SD,0.031953713,0.016221418,0.121040144,0.015662129,10.63112569,0.017848388,0.032680385,0.068654705,0.043225907,0.515162506,0.32947166,0.3285822,0.025211128,0,
First Foot,,,,,,,,,,,,,,,,
,avg,0.510969977,0.195787999,0.391485447,0.226647473,61.9787234,0.126785462,0.396969148,0.850520127,0.210872596,4.349070288,0.133730871,0.202733408,0.228282729,0.254746977,47
,SD,0.104297565,0.027839438,0.059469651,0.080730408,9.904843779,0.008334212,0.074699835,0.189301426,0.055931468,1.542821061,0.004306725,0.027837221,0.057228249,0.048425092,
Second Foot,,,,,,,,,,,,,,,,
,avg,0.569121803,0.329889438,0.590966313,0.220567428,83.8125,0.254119636,0.595604235,1.015036668,0.412032917,2.65469925,0.267257836,0.343027637,0.161003832,0.88873225,48
,SD,0.099277539,0.027615981,0.07783175,0.054106792,9.769545047,0.011164131,0.070955472,0.208848572,0.080533462,1.082902374,0.007080814,0.025068111,0.024039864,0.258090623,
Last Foot,,,,,,,,,,,,,,,,
,avg,0.469335005,0.238217262,0.509923979,0.294447991,81.12765957,0.122931741,0.517206792,0.753908941,0.386993766,2.056018525,0.264647898,0.379933419,0.157968476,0.711585192,47
,SD,0.067775691,0.038296637,0.066121387,0.08108061,10.7101404,0.012919593,0.097735462,0.156518078,0.081142812,0.672419509,0.008375859,0.037993692,0.012934729,0.165703294,
Net speed(second),,,,,,,,,,,,,,,,
,avg,0.353450128,0.197164563,0.567923614,0.208655621,82.40909091,0.124241745,0.445966992,0.790752783,0.376258864,2.241220343,0.148469078,0.221391897,0.058741787,0.613654669,44
,SD,0.063634481,0.021081453,0.074165628,0.05873033,8.671578921,0.00972142,0.06682633,0.142217009,0.088018571,0.762789687,0.017040054,0.029261571,0.03546019,0.201338497,
Net speed(last),,,,,,,,,,,,,,,,
,avg,0.228158819,0.110853194,0.481813364,0.304319608,80,-0.012254759,0.383034265,0.492863802,0.349491455,1.446635053,0.004766372,0.127874325,0.038574065,0.435840052,44
,SD,0.067232979,0.037657061,0.061594843,0.085841291,10.02496883,0.013988972,0.102791239,0.152006699,0.064850668,0.523947788,0.015004905,0.043878419,0.045828678,0.15393674,
stair1_75,,ascentVelocity,ascentDistance,ascentTime,descentVelocity,length,verticalDistance,totalDistance,maxVelocity,maxVelTime,maxVelSlope,lastY,maxY,startDeltaTimeVelocity,afterCrossVelocity,total count
Head 1,,,,,,,,,,,,,,,,
,avg,0.238429616,0.140428539,0.5944385,0.031845088,69.88,0.134045659,0.272234157,0.465553623,0.1722205,2.748142693,1.799494233,1.805877113,0.174592854,1,50
,SD,0.02356347,0.008224407,0.066489843,0.021949886,4.023133107,0.009623582,0.093532451,0.044211901,0.020275672,0.462281613,0.325577522,0.323006307,0.042046139,0,
Head 2,,,,,,,,,,,,,,,,
,avg,0.212236267,0.14060247,0.667340265,0.017901134,68.97959184,0.137759914,0.233809751,0.414556742,0.175735204,2.42058788,1.937572176,1.940414732,0.183955383,1,49
,SD,0.020081037,0.006919791,0.060625511,0.021391971,4.679481028,0.007443357,0.01981899,0.056456666,0.029921365,0.485107245,0.330093959,0.327163994,0.031255053,0,
First Foot,,,,,,,,,,,,,,,,
,avg,0.575613529,0.198749867,0.34755208,0.264569124,55.88,0.126787205,0.403838077,0.966573016,0.18733146,5.264416479,0.130309601,0.202272262,0.261156263,0.287967322,50
,SD,0.077367704,0.022759481,0.032963549,0.079864721,5.475910883,0.006180993,0.05670024,0.129854959,0.027487994,0.982019891,0.005977427,0.022860826,0.04444666,0.057363331,
Second Foot,,,,,,,,,,,,,,,,
,avg,0.684391761,0.334237645,0.492124708,0.252160279,70.10416667,0.262144905,0.599486087,1.259813703,0.318746813,4.019047249,0.265160118,0.337252857,0.187033873,1.181993204,48
,SD,0.072804423,0.017114628,0.040505547,0.043884407,3.49547078,0.007981354,0.044688266,0.118170158,0.031193052,0.750611992,0.008114909,0.016339252,0.013278138,0.127503843,
Last Foot,,,,,,,,,,,,,,,,
,avg,0.510040489,0.233712876,0.458952327,0.336488975,68.85714286,0.131860075,0.488154742,0.833434679,0.320178204,2.635581579,0.261669698,0.363522499,0.179168716,0.805589108,49
,SD,0.034204501,0.018036895,0.0312017,0.072221544,4.571428571,0.004775887,0.049973774,0.082750674,0.037674117,0.381996758,0.007555073,0.019496275,0.015232699,0.080247754,
Net speed(second),,,,,,,,,,,,,,,,
,avg,0.414822011,0.197457556,0.480913065,0.234898247,70.13043478,0.12709235,0.437548748,0.958372169,0.317629674,3.093148916,0.144158972,0.214524178,0.053867908,0.829960133,46
,SD,0.057933016,0.016561699,0.042698575,0.051121812,3.566807705,0.010607587,0.047701755,0.120700916,0.040233488,0.691571475,0.013940121,0.018272691,0.038326098,0.111639082,
Net speed(last),,,,,,,,,,,,,,,,
,avg,0.237299302,0.10460386,0.440575304,0.341915832,68.93478261,-0.005329427,0.353348338,0.533646578,0.314006522,1.711786267,0.00297407,0.112907357,0.026580486,0.510170017,46
,SD,0.04488537,0.02153357,0.031101947,0.084347431,4.687644138,0.009922278,0.060129326,0.09531613,0.030246028,0.339235708,0.005206791,0.025826188,0.041737327,0.090974879,
stair1_100,,ascentVelocity,ascentDistance,ascentTime,descentVelocity,length,verticalDistance,totalDistance,maxVelocity,maxVelTime,maxVelSlope,lastY,maxY,startDeltaTimeVelocity,afterCrossVelocity,total count
Head 1,,,,,,,,,,,,,,,,
,avg,0.275757764,0.143488391,0.54021682,0.021018136,57.7,0.13976531,0.299453922,0.523902198,0.16044284,3.320160385,1.801228663,1.804951743,0.191841666,1,50
,SD,0.054171141,0.006499263,0.104511698,0.026673063,4.601086828,0.007949942,0.10986893,0.057223599,0.016653161,0.606096028,0.325026992,0.323457885,0.049501528,0,
Head 2,,,,,,,,,,,,,,,,
,avg,0.249919,0.137313466,0.554161125,0.023609227,58.72916667,0.133886006,0.220430615,0.460089898,0.165739083,2.827520686,1.932085731,1.93551319,0.184296132,1,48
,SD,0.024193356,0.006202081,0.054272856,0.027382898,2.789411402,0.006615339,0.016222922,0.059392511,0.017098149,0.56975911,0.33431268,0.331305188,0.029534619,0,
First Foot,,,,,,,,,,,,,,,,
,avg,0.664615411,0.195913669,0.296595673,0.299811217,48.32653061,0.123571128,0.396368904,1.066367891,0.161222878,6.741785305,0.126327446,0.198669987,0.348554936,0.418162001,49
,SD,0.085878263,0.023000443,0.027693845,0.090035223,3.819326552,0.006385292,0.058123712,0.130630688,0.019840747,1.356477229,0.006404832,0.023497417,0.10084178,0.131703715,
Second Foot,,,,,,,,,,,,,,,,
,avg,0.820959488,0.339297085,0.41688472,0.317294979,59.48,0.261469625,0.610503062,1.496655535,0.27399726,5.54604711,0.263626777,0.341454237,0.190410857,1.429820559,50
,SD,0.092584528,0.019190453,0.036259332,0.068406273,3.822250646,0.012442229,0.050425312,0.144684968,0.025590059,0.979427267,0.011883147,0.018335419,0.02317219,0.144123626,
Last Foot,,,,,,,,,,,,,,,,
,avg,0.576225331,0.228827418,0.397395553,0.37643218,58.95744681,0.132747155,0.474656421,0.97330405,0.274228936,3.576676889,0.259344675,0.355424938,0.187438797,0.920802816,47
,SD,0.038808739,0.017247336,0.019877648,0.081642385,3.63175971,0.004867926,0.056886967,0.072693123,0.023941111,0.416606699,0.00780829,0.016848409,0.016058596,0.088715534,
Net speed(second),,,,,,,,,,,,,,,,
,avg,0.502316308,0.201114783,0.403946578,0.323815901,59.44444444,0.117257792,0.451486434,1.129727359,0.280737933,4.146480385,0.131735852,0.215592844,0.045644671,1.018272279,45
,SD,0.068080021,0.018424311,0.034834599,0.056559055,3.562493232,0.014521602,0.053900113,0.135395476,0.043470382,0.93559227,0.016815479,0.019136342,0.05220905,0.112383843,
Net speed(last),,,,,,,,,,,,,,,,
,avg,0.272776086,0.103617691,0.379502378,0.388815525,58.57777778,-0.000798454,0.338128795,0.639768585,0.277034267,2.313697807,-0.000749917,0.103666229,0.018503487,0.60681397,45
,SD,0.037364762,0.016029218,0.020007419,0.091974303,2.80862868,0.009463545,0.053226484,0.08512266,0.017746709,0.305021421,0.008701196,0.022243962,0.030553114,0.085026325,
stair2_50,,ascentVelocity,ascentDistance,ascentTime,descentVelocity,length,verticalDistance,totalDistance,maxVelocity,maxVelTime,maxVelSlope,lastY,maxY,startDeltaTimeVelocity,afterCrossVelocity,total count
Head 1,,,,,,,,,,,,,,,,
,avg,0.34568086,0.285184907,0.83821384,0.043667901,95.84,0.274124024,0.45840489,0.639084188,0.20355352,3.318513426,1.92290503,1.933965913,0.189959843,1,50
,SD,0.047935151,0.019811182,0.109366561,0.028541071,7.772670069,0.018079355,0.040367272,0.079097845,0.056804926,0.800023474,0.31874875,0.318887362,0.052461206,0,
Head 2,,,,,,,,,,,,,,,,
,avg,0.3174738,0.282651105,0.89821324,0.012201573,89.62,0.280324256,0.450010939,0.580842681,0.2188867,2.854127451,2.195660862,2.19798771,0.203093686,1,50
,SD,0.033760386,0.014048014,0.083926231,0.016847326,7.693867688,0.014443002,0.031624578,0.083839203,0.072562572,0.730487747,0.324806119,0.322270198,0.035616405,0,
First Foot,,,,,,,,,,,,,,,,
,avg,0.723575478,0.336824799,0.480040551,0.248460827,71.7755102,0.257178217,0.60450598,1.248761694,0.257593796,5.31354155,0.262511526,0.342158108,0.235596065,0.263683769,49
,SD,0.142083009,0.023758767,0.084439411,0.064221445,11.62380616,0.004886646,0.066560529,0.257999305,0.066729215,2.130898414,0.00465504,0.024330109,0.068897257,0.0730365,
Second Foot,,,,,,,,,,,,,,,,
,avg,0.847762487,0.604209688,0.721081224,0.246863242,95.95918367,0.517790815,1.003927811,1.513420886,0.447161061,3.512115857,0.522575258,0.608994131,0.201979976,1.464574982,49
,SD,0.105750339,0.027490662,0.075098743,0.054379686,7.806222488,0.008636916,0.077683359,0.242509735,0.067810013,0.95398667,0.008530503,0.027899282,0.026608098,0.259189812,
Last Foot,,,,,,,,,,,,,,,,
,avg,0.600038731,0.372782271,0.626070837,0.316477787,89.7755102,0.259594102,0.710782003,0.980137416,0.424032041,2.422374801,0.517321431,0.6305096,0.201382581,0.893365789,49
,SD,0.050581752,0.01654576,0.064886835,0.081404449,7.693796351,0.006311541,0.04433232,0.125838396,0.080259135,0.630931176,0.007209223,0.017910312,0.025405658,0.106000666,
Net speed(second),,,,,,,,,,,,,,,,
,avg,0.463408308,0.323613559,0.708030745,0.220125954,95.70212766,0.244303409,0.674503465,1.064747885,0.496448936,2.279900843,0.281049695,0.360359845,0.046747973,0.963075886,47
,SD,0.069547622,0.025672995,0.078389313,0.066429581,7.857547919,0.018368756,0.081897848,0.175887248,0.104484797,0.75342612,0.016498722,0.033028417,0.060236468,0.216095357,
Net speed(last),,,,,,,,,,,,,,,,
,avg,0.196213333,0.114596875,0.586991766,0.347664603,89.65957447,-0.021057087,0.454067532,0.513110628,0.433565404,1.224863726,0.003299826,0.138953788,0.007765111,0.459300482,47
,SD,0.044958299,0.026308174,0.073642107,0.106260288,7.817809988,0.012198205,0.076819108,0.120505181,0.084354259,0.365026823,0.010763463,0.029684575,0.042246948,0.119345014,
stair2_75,,ascentVelocity,ascentDistance,ascentTime,descentVelocity,length,verticalDistance,totalDistance,maxVelocity,maxVelTime,maxVelSlope,lastY,maxY,startDeltaTimeVelocity,afterCrossVelocity,total count
Head 1,,,,,,,,,,,,,,,,
,avg,0.450094988,0.276305026,0.62577152,0.089634736,73.7,0.25745477,0.446883005,0.782804109,0.16755388,4.738925414,1.906036521,1.924886777,0.268991828,1,50
,SD,0.064311352,0.016236799,0.090360237,0.053023124,4.712748667,0.020537171,0.027570851,0.098432015,0.015370172,0.903737747,0.322221857,0.314787896,0.076662685,0,
Head 2,,,,,,,,,,,,,,,,
,avg,0.408522666,0.29227203,0.72354832,0.018525013,72.22,0.289335437,0.446018696,0.738866913,0.1711094,4.40569494,2.192863059,2.195799652,0.28124447,1,50
,SD,0.052434403,0.014508292,0.06720603,0.026035865,3.11313347,0.013690259,0.023480414,0.09795649,0.02383044,0.899416484,0.326635156,0.323436297,0.060772908,0,
First Foot,,,,,,,,,,,,,,,,
,avg,0.885458312,0.337612802,0.385030163,0.307417851,57.83673469,0.258209722,0.603166082,1.51882832,0.204533102,7.58198558,0.261221916,0.340624996,0.324376427,0.386687135,49
,SD,0.114679209,0.025625427,0.03678608,0.079571232,5.779439062,0.00517757,0.068461891,0.180661886,0.025684457,1.460121639,0.005054113,0.025899333,0.080541582,0.140425087,
Second Foot,,,,,,,,,,,,,,,,
,avg,1.084633253,0.598012165,0.55310558,0.296936708,73.7,0.518553076,0.982960308,2.094808983,0.3477743,6.054079602,0.520329072,0.599788161,0.229010499,1.861569381,50
,SD,0.068982983,0.026900798,0.036330761,0.056349747,4.712748667,0.015363596,0.065505725,0.158040083,0.022797866,0.64188323,0.015077875,0.02670344,0.016714395,0.547918903,
Last Foot,,,,,,,,,,,,,,,,
,avg,0.723495813,0.372455711,0.516198542,0.388139789,72.33333333,0.262440556,0.699923029,1.230377134,0.340737333,3.667873363,0.516151605,0.62616676,0.229750065,1.067118832,48
,SD,0.042700276,0.015005033,0.03092825,0.072549256,3.12472221,0.003670323,0.042569894,0.078344553,0.039042514,0.55738593,0.006696134,0.017726482,0.022462998,0.109916299,
Net speed(second),,,,,,,,,,,,,,,,
,avg,0.602508794,0.326420672,0.544901958,0.224255097,73.6875,0.261850052,0.658296942,1.526002138,0.372681458,4.196455636,0.29486433,0.35943495,-0.009651557,1.31610542,48
,SD,0.074194518,0.03270538,0.041322759,0.092757727,4.739709247,0.021288823,0.078764098,0.168415751,0.065102873,0.732820492,0.016799534,0.033911072,0.110749079,0.478305058,
Net speed(last),,,,,,,,,,,,,,,,
,avg,0.222400169,0.107525097,0.481476667,0.426364781,72.33333333,-0.027169959,0.454073709,0.679337109,0.358561229,1.908874415,0.003048514,0.137743571,-0.079755671,0.58050284,48
,SD,0.055566241,0.029016296,0.031453922,0.106568659,3.12472221,0.012494949,0.06978449,0.120198501,0.049364798,0.317323709,0.009732999,0.029741967,0.078897036,0.145693983,
stair2_100,,ascentVelocity,ascentDistance,ascentTime,descentVelocity,length,verticalDistance,totalDistance,maxVelocity,maxVelTime,maxVelSlope,lastY,maxY,startDeltaTimeVelocity,afterCrossVelocity,total count
Head 1,,,,,,,,,,,,,,,,
,avg,0.505651308,0.260871647,0.54532788,0.043911644,58.56,0.252663238,0.558682986,0.872099875,0.15622066,5.758800659,1.904227964,1.912436373,0.324965635,1,50
,SD,0.128367255,0.01700461,0.121630488,0.05938466,5.869105554,0.018884239,0.190684452,0.153241266,0.018379891,1.625363695,0.323116645,0.31645909,0.109018028,0,
Head 2,,,,,,,,,,,,,,,,
,avg,0.504105913,0.291412794,0.58532748,0.026423846,60.18,0.287691171,0.435469547,0.873988385,0.20577572,5.396771172,2.185781494,2.189503117,0.342747757,1,50
,SD,0.066310142,0.018074313,0.062199374,0.031147223,3.642471688,0.016761333,0.024903144,0.126956719,0.162056744,1.884079664,0.328426676,0.325539926,0.081616998,0,
First Foot,,,,,,,,,,,,,,,,
,avg,1.084802406,0.337507157,0.312496875,0.374224482,48.625,0.252211551,0.609338201,1.743110122,0.169674229,10.38213174,0.254701073,0.339996679,0.516493061,0.677587939,48
,SD,0.096876072,0.023676279,0.023529035,0.091525164,3.849377655,0.007380685,0.062429359,0.15913205,0.016932824,1.460027831,0.006711128,0.023900177,0.147147615,0.180591298,
Second Foot,,,,,,,,,,,,,,,,
,avg,1.323869985,0.595324964,0.45399546,0.362735576,61.02,0.513736678,0.977233111,2.543930833,0.30266364,8.494986655,0.515685098,0.597273384,0.238953499,2.058671027,50
,SD,0.124653393,0.019714715,0.047661398,0.04679981,4.969869214,0.01768982,0.044583754,0.165506545,0.028158001,1.078021185,0.017421921,0.019539416,0.038036037,0.884658598,
Last Foot,,,,,,,,,,,,,,,,
,avg,0.862255729,0.365167812,0.4255513,0.424456124,60.18,0.262780175,0.67226579,1.470565354,0.28266384,5.265539492,0.514355991,0.616743628,0.262644446,1.16868385,50
,SD,0.067819367,0.011820002,0.02873864,0.074775057,3.642471688,0.007342498,0.041144099,0.116320721,0.026681211,0.780118859,0.007221009,0.012133654,0.030095889,0.167660444,
Net speed(second),,,,,,,,,,,,,,,,
,avg,0.775709458,0.344037152,0.445597396,0.402523934,60.77083333,0.251038253,0.71115279,1.954918894,0.324302313,6.256900081,0.277304876,0.370303775,-0.083421152,1.528882251,48
,SD,0.075570684,0.0298737,0.038438787,0.114370167,4.916975626,0.026378447,0.069680593,0.192031934,0.074107686,1.161062818,0.026346155,0.028448481,0.155083352,0.783934831,
Net speed(last),,,,,,,,,,,,,,,,
,avg,0.27023722,0.106395508,0.395597896,0.490392183,60.125,-0.024966024,0.449203665,0.862528142,0.331478167,2.817648638,0.005634444,0.136995976,-0.176586681,0.648130442,48
,SD,0.069779924,0.02651353,0.027001824,0.115473762,3.637908053,0.013791157,0.056737793,0.142528096,0.154314506,0.712139579,0.015738036,0.03044014,0.067980391,0.148271605,
