stair1,,ascentVelocity,ascentDistance,ascentTime,descentVelocity,length,verticalDistance,totalDistance,maxVelocity,maxVelTime,maxVelSlope,lastY,maxY,startDeltaTimeVelocity,total count,,,,
,SD,0.048183101,0.020649924,0.058198779,0.004201315,5.321143296,0.020629963,0.029666819,0.116902315,0.037133299,1.107132032,0.081207427,0.081143697,0,,,,,
First Foot,,,,,,,,,,,,,,,,,,,
,avg,0.902772081,0.338345843,0.382189288,0.300010428,48.24454148,0.291277673,0.557588213,1.52575967,0.200434677,7.872583134,0.292929792,0.339997962,0.555199379,229,,,,
,SD,0.13917187,0.018991316,0.053467466,0.089501958,5.640738313,0.012443844,0.051786827,0.219879979,0.032178004,1.914084629,0.012265928,0.018963012,0.219692971,,,,,
Second Foot,,,,,,,,,,,,,,,,,,,
,avg,1.212884244,0.57779936,0.481351119,0.293532939,55.69491525,0.536381503,0.899764725,2.086592477,0.252681089,8.564158118,0.538699996,0.580117853,1.852163499,236,,,,
,SD,0.128832718,0.020611752,0.050418982,0.09136347,5.806934012,0.015745019,0.054633349,0.239316552,0.043487585,1.998223966,0.01586455,0.021128625,0.491963905,,,,,
Last Foot,,,,,,,,,,,,,,,,,,,
,avg,0.869654534,0.340323037,0.397755126,0.352491556,51.52521008,0.278533785,0.586193948,1.508295482,0.230436538,6.870772596,0.527182277,0.588971528,1.029759747,238,,,,
,SD,0.134380862,0.026030729,0.047884118,0.118818568,5.337889277,0.011806857,0.067657116,0.274821202,0.039447033,2.20292552,0.015850227,0.026855768,0.242167975,,,,,
Net speed(second),,,,,,,,,,,,,,,,,,,
,avg,0.799477327,0.368767469,0.466476817,0.286432877,55.42916667,0.325088129,0.661142615,1.569557691,0.357172354,4.639379983,0.306185218,0.349864558,1.328731019,240,,,,
,SD,0.120288058,0.037464176,0.061788272,0.085199338,6.213156683,0.044385932,0.065640248,0.235013325,0.069001218,1.458261554,0.034593722,0.032998257,0.544802708,,,,,
Net speed(last),,,,,,,,,,,,,,,,,,,
,avg,0.401329762,0.142301899,0.3644408,0.449887276,51.44583333,0.049730755,0.437065641,1.001278146,0.351246488,2.950389408,0.039058355,0.131629498,0.615149401,240,,,,
,SD,0.138428065,0.04094172,0.050533678,0.132382332,5.478479044,0.026976821,0.082800629,0.285820477,0.049059409,1.071433686,0.029763444,0.043868649,0.237785915,,,,,
stair1_60,,ascentVelocity,ascentDistance,ascentTime,descentVelocity,length,verticalDistance,totalDistance,maxVelocity,maxVelTime,maxVelSlope,lastY,maxY,startDeltaTimeVelocity,total count,,,,
Head 1,,,,,,,,,,,,,,,,,,stair2_60/stair1_60,startDeltaTimeVelocity
,avg,0.212749797,0.102459886,0.490970345,0.017551747,52.34497817,0.100092631,0.165371678,0.399729178,0.206354074,2.039129336,1.301501814,1.303869069,1,229,,,Head 1,
,SD,0.042318751,0.016011597,0.077762879,0.016399918,5.733433216,0.015885563,0.027909397,0.07247674,0.047254553,0.616495538,0.085486797,0.085161069,0,,,,,
Head 2,,,,,,,,,,,,,,,,,,,
,avg,0.216652056,0.107567168,0.505097476,0.004274483,47.96566524,0.107198509,0.1625957,0.393231699,0.203097635,2.039444409,1.438571559,1.438940218,1,233,,,Head 2,
,SD,0.041196852,0.014311337,0.066426591,0.009863364,5.620213871,0.014276704,0.021660748,0.070593887,0.04407809,0.617252731,0.094105546,0.094059126,0,,,,,
First Foot,,,,,,,,,,,,,,,,,,,
,avg,0.598856452,0.189030217,0.319528444,0.041275295,31.34529148,0.186183962,0.278537537,0.955452869,0.180715682,5.487429292,0.188087374,0.190933629,0.387167666,223,,,First Foot,1.280010932
,SD,0.095003459,0.01830244,0.03162792,0.069425669,1.536422605,0.017646988,0.031001166,0.176780739,0.030181107,1.553949357,0.017395964,0.018055528,0.159768671,,,,,1.409016357
Second Foot,,,,,,,,,,,,,,,,,,,#DIV/0!
,avg,0.747610399,0.315388725,0.430422325,0.206236074,52.39662447,0.283046252,0.52005153,1.322916727,0.208718025,6.616557528,0.285310577,0.317653049,1.270770968,237,,,Second Foot,1.400593179
,SD,0.11555788,0.017267858,0.059933645,0.071799158,5.752532849,0.009063498,0.045459462,0.184503412,0.041761236,1.707678311,0.00913837,0.017573854,0.175106709,,,,,2.673370328
Last Foot,,,,,,,,,,,,,,,,,,,#DIV/0!
,avg,0.566570166,0.194636253,0.348211701,0.244220567,48.09954751,0.149117603,0.355106683,0.965774589,0.196579231,5.09787687,0.274477483,0.319996133,0.76990621,221,,,Last Foot,1.25793624
,SD,0.091768289,0.021927694,0.039897434,0.105832427,5.148390758,0.011123928,0.060936131,0.162079934,0.033865666,1.421922466,0.012964832,0.021984097,0.182780205,,,,,1.334002707
Net speed(second),,,,,,,,,,,,,,,,,,,#DIV/0!
,avg,0.520993913,0.213079129,0.418870753,0.194128572,52.21757322,0.180621493,0.39669976,1.022907773,0.292791121,4.153009299,0.16542972,0.197887355,0.978126885,239,,,Net speed(second),1.280382302
