stair1,,ascentVelocity,ascentDistance,ascentTime,descentVelocity,length,verticalDistance,totalDistance,maxVelocity,maxVelTime,maxVelSlope,lastY,maxY,startDeltaTimeVelocity,total count
,avg,0.994504564,0.591676864,0.5955496,0.255865706,66.85,0.550210645,0.909945315,2.036824359,0.39499605,5.175641444,0.554038634,0.595504853,1.71973978,20
,SD,0.039898277,0.019717708,0.022878949,0.07795581,5.781652013,0.009607757,0.06312671,0.119057584,0.019396573,0.474650575,0.009461592,0.020322656,0.640598909,
Last Foot,,,,,,,,,,,,,,,
,avg,0.733825575,0.364480833,0.4966617,0.400344526,60.45,0.292857978,0.643260195,1.281306169,0.35166315,3.649883191,0.554558668,0.626181523,1.07766373,20
,SD,0.053358499,0.031523796,0.021687807,0.119960388,3.153965758,0.00691499,0.069663156,0.107091569,0.016206451,0.329406968,0.00961255,0.034377812,0.246574924,
Net speed(second),,,,,,,,,,,,,,,
,avg,0.545244361,0.317763643,0.5833275,0.201490838,66.85,0.283252181,0.602311128,1.51678805,0.5155504,3.154320659,0.310135192,0.344646655,1.245509522,20
,SD,0.04446184,0.02536555,0.022634828,0.049862666,5.781652013,0.008639038,0.047130483,0.105873269,0.148255885,0.75855643,0.016450299,0.033358983,0.512891654,
Net speed(last),,,,,,,,,,,,,,,
,avg,0.237507766,0.110459086,0.4644398,0.46040799,60.45,0.014144996,0.390162173,0.757352838,0.3844406,2.042415482,0.049245478,0.145559568,0.610644276,20
,SD,0.041049119,0.021062705,0.023985353,0.107520873,3.153965758,0.016114072,0.075825725,0.138120025,0.071612097,0.506797168,0.022460802,0.047485946,0.245499419,
stair1_60,,ascentVelocity,ascentDistance,ascentTime,descentVelocity,length,verticalDistance,totalDistance,maxVelocity,maxVelTime,maxVelSlope,lastY,maxY,startDeltaTimeVelocity,total count
Head 1,,,,,,,,,,,,,,,
,avg,0.228197084,0.146846179,0.64499355,0.014904227,65.2,0.144815376,0.233126009,0.456499882,0.2455531,2.021506941,1.457909005,1.459939807,1,20
,SD,0.01121602,0.007047803,0.042957345,0.014407593,5.306599665,0.008403677,0.012690131,0.025216209,0.070526411,0.588089051,0.066115587,0.064156862,0,
Head 2,,,,,,,,,,,,,,,
,avg,0.203734035,0.131644696,0.6477713,0.005324047,64.9,0.130921473,0.19837917,0.384524885,0.2066646,1.884312222,1.588700748,1.589423971,1,20
,SD,0.015497128,0.009760598,0.045825299,0.005680375,5.70876519,0.009517937,0.013490145,0.035870802,0.019688742,0.291029627,0.060701711,0.060070701,0,
First Foot,,,,,,,,,,,,,,,
,avg,0.513488147,0.180646409,0.3499965,0.028764521,33.7,0.178509498,0.262694851,0.804403548,0.22499775,3.624622775,0.183224587,0.185361498,0.222805038,20
,SD,0.101181321,0.042508193,0.031130635,0.056507028,4.86929153,0.039937544,0.063278172,0.216314855,0.030199649,1.106989573,0.040637225,0.043448237,0.016071211,
Second Foot,,,,,,,,,,,,,,,
,avg,0.599254263,0.332296501,0.5588833,0.200118405,65.2,0.293744102,0.545121927,1.151114327,0.42944015,2.743772715,0.301226153,0.339778551,1.068003351,20
,SD,0.081786197,0.029057849,0.043190216,0.14313137,5.306599665,0.008231149,0.082085265,0.12413057,0.052147771,0.6024487,0.010160699,0.025536107,0.116652439,
Last Foot,,,,,,,,,,,,,,,
,avg,0.471288632,0.235516233,0.49277285,0.32785639,64.9,0.157684819,0.467057161,0.799804888,0.39499605,2.013008207,0.313325025,0.391156438,0.721340807,20
,SD,0.098303883,0.065033007,0.039639184,0.140484758,5.70876519,0.027048804,0.13709274,0.219481379,0.045875784,0.454090466,0.01464495,0.047958456,0.182947785,
Net speed(second),,,,,,,,,,,,,,,
,avg,0.35241967,0.188763799,0.5399946,0.196822321,65.2,0.148928726,0.384789183,0.908938428,0.41166255,2.427382547,0.164938179,0.204773252,0.793228043,20
,SD,0.075189606,0.033295973,0.041632904,0.125828777,5.306599665,0.007919174,0.078103812,0.117489238,0.150941003,0.734642312,0.014505522,0.042354927,0.120303181,
Net speed(last),,,,,,,,,,,,,,,
,avg,0.227665791,0.111726795,0.4722175,0.336025128,64.9,0.026763346,0.326179791,0.546330433,0.3688852,1.47214438,0.046245307,0.131208755,0.450884927,20
,SD,0.093535492,0.054467428,0.049253197,0.124852138,5.70876519,0.019926035,0.129581759,0.232124864,0.061923269,0.579414268,0.026337782,0.059591984,0.172670258,
