(-0.1899438, 1.697424, -0.8236996)
(-0.1904097, 1.697464, -0.8225452)
(-0.1908215, 1.697382, -0.8213704)
(-0.1913782, 1.697408, -0.8200669)
(-0.1918374, 1.697625, -0.8187391)
(-0.192372, 1.698024, -0.8173097)
(-0.193057, 1.698269, -0.8157646)
(-0.1935296, 1.698325, -0.8143291)
(-0.1942992, 1.698627, -0.8126651)
(-0.1947673, 1.69892, -0.8109222)
(-0.1953334, 1.699174, -0.8092165)
(-0.1958915, 1.699519, -0.807349)
(-0.1961968, 1.699575, -0.8055565)
(-0.1966894, 1.700029, -0.8034114)
(-0.1973185, 1.700063, -0.8009129)
(-0.1981719, 1.699994, -0.7984271)
(-0.1989578, 1.699997, -0.7959482)
(-0.1998024, 1.700188, -0.7931333)
(-0.2005145, 1.700297, -0.7902554)
(-0.2015681, 1.700485, -0.7871718)
(-0.2027377, 1.700787, -0.7839319)
(-0.2040369, 1.700805, -0.7804965)
(-0.2055844, 1.700512, -0.7767873)
(-0.2072416, 1.700405, -0.7727221)
(-0.2088431, 1.700112, -0.768788)
(-0.2104941, 1.699329, -0.7647598)
(-0.2122999, 1.699045, -0.7605581)
(-0.2141568, 1.699042, -0.7562199)
(-0.2160783, 1.699764, -0.7517344)
(-0.218283, 1.700256, -0.7470214)
(-0.2208032, 1.700619, -0.7419384)
(-0.2234473, 1.700316, -0.7367907)
(-0.2265157, 1.69994, -0.7308013)
(-0.2293213, 1.699057, -0.7250313)
(-0.2321566, 1.698569, -0.7193242)
(-0.235236, 1.697866, -0.7132031)
(-0.2383231, 1.697507, -0.7072404)
(-0.2417307, 1.697687, -0.7006838)
(-0.2452065, 1.697853, -0.6940624)
(-0.2489949, 1.697853, -0.6871082)
(-0.2527574, 1.697198, -0.6802598)
(-0.2573256, 1.695978, -0.6724161)
(-0.2617616, 1.694351, -0.6652799)
(-0.2665219, 1.693904, -0.6583518)
(-0.2719137, 1.694236, -0.6511846)
(-0.2772903, 1.694736, -0.6440917)
(-0.2831217, 1.695702, -0.6367163)
(-0.2887708, 1.695737, -0.6294222)
(-0.2946289, 1.694799, -0.6223441)
(-0.2999424, 1.694027, -0.6153848)
(-0.3059231, 1.693631, -0.6083992)
(-0.3112958, 1.694013, -0.6025668)
(-0.3162853, 1.695196, -0.5969462)
(-0.3212829, 1.697432, -0.5914654)
(-0.3263844, 1.699588, -0.5861592)
(-0.3308799, 1.703099, -0.5809143)
(-0.3348903, 1.706067, -0.575779)
(-0.338425, 1.70934, -0.5711643)
(-0.3417103, 1.712692, -0.5666183)
(-0.3447741, 1.717047, -0.5618736)
(-0.3472376, 1.720469, -0.55791)
(-0.3495692, 1.724582, -0.5540805)
(-0.3513841, 1.749628, -0.5505479)
(-0.3529666, 1.768184, -0.5467953)
(-0.3544923, 1.779131, -0.5433034)
(-0.3561647, 1.790905, -0.5399992)
(-0.3579593, 1.804833, -0.5368863)
(-0.3600433, 1.822108, -0.5338585)
(-0.3621343, 1.840369, -0.5307583)
(-0.3642051, 1.857387, -0.5278422)
(-0.3659445, 1.879204, -0.5251013)
(-0.3674449, 1.897813, -0.5226306)
(-0.368974, 1.918926, -0.5200751)
(-0.370284, 1.939066, -0.5180968)
(-0.3717129, 1.959887, -0.5157866)
(-0.3731206, 1.979316, -0.5137053)
(-0.3748438, 1.996919, -0.5114492)
(-0.3764805, 2.01013, -0.5090407)
(-0.377772, 2.020778, -0.5067445)
(-0.3790606, 2.042629, -0.5047694)
(-0.380037, 2.062276, -0.5032008)
(-0.3812728, 2.083257, -0.5012572)
(-0.382445, 2.102878, -0.4996541)
(-0.3838873, 2.108459, -0.4979444)
(-0.3855602, 2.112235, -0.4961028)
(-0.3871047, 2.114414, -0.4944296)
(-0.3884937, 2.116223, -0.4926761)
(-0.3893171, 2.118, -0.491113)
(-0.3899698, 2.119599, -0.4895268)
(-0.3904395, 2.120895, -0.4881496)
(-0.3912781, 2.121657, -0.4867362)
(-0.3924113, 2.122446, -0.4850217)
(-0.3933712, 2.122835, -0.4834512)
(-0.3943297, 2.122982, -0.481986)
(-0.3950448, 2.123295, -0.4805279)
(-0.3953173, 2.123666, -0.4791047)
(-0.3952992, 2.123975, -0.4779196)
(-0.3952185, 2.124351, -0.4770142)
(-0.3950675, 2.124768, -0.4759801)
(-0.3949695, 2.125005, -0.4750412)
(-0.3948847, 2.125255, -0.4741128)
(-0.3948756, 2.125361, -0.4731699)
(-0.3947732, 2.125242, -0.4723933)
(-0.3946148, 2.125234, -0.4717472)
(-0.3942205, 2.12521, -0.4709953)
(-0.3939759, 2.124686, -0.4708267)
(-0.3937423, 2.124252, -0.4703484)
(-0.3934969, 2.123828, -0.4699628)
(-0.3936921, 2.123556, -0.4696973)
(-0.3934642, 2.123478, -0.46939)
(-0.3930967, 2.12319, -0.4691707)
(-0.3924842, 2.123006, -0.4691063)
(-0.3919098, 2.122015, -0.4691011)
(-0.3909159, 2.121261, -0.4694174)
(-0.3900964, 2.12035, -0.4695765)
(-0.3896199, 2.120036, -0.469761)
(-0.3892072, 2.119587, -0.4700196)
(-0.3889492, 2.119154, -0.4703271)
(-0.3883449, 2.118433, -0.4710566)
(-0.3875613, 2.117965, -0.4717288)
(-0.3868461, 2.117436, -0.4723663)
(-0.3857295, 2.117208, -0.4731359)
(-0.3845177, 2.116372, -0.4741228)
(-0.3834955, 2.115471, -0.4752108)
(-0.3826284, 2.114738, -0.4761884)
(-0.3816738, 2.115017, -0.476756)
(-0.3809928, 2.114972, -0.4769626)
(-0.379847, 2.114621, -0.4775476)
(-0.3787216, 2.11436, -0.4781091)
(-0.3768989, 2.114066, -0.4789428)
(-0.3750481, 2.107114, -0.4801394)
(-0.3724703, 2.10075, -0.4814468)
(-0.3697368, 2.095119, -0.4826401)
(-0.3673198, 2.089519, -0.4837008)
(-0.3646651, 2.078666, -0.4848194)
(-0.362032, 2.067311, -0.4861221)
(-0.3594118, 2.059224, -0.4875482)
(-0.3566788, 2.05127, -0.4888863)
(-0.3540852, 2.060297, -0.489759)
(-0.351262, 2.075575, -0.4903971)
(-0.3484422, 2.078292, -0.4908181)
(-0.3462966, 2.078451, -0.4911574)
(-0.3442276, 2.07404, -0.4913767)
(-0.3419811, 2.071396, -0.4918479)
(-0.339747, 2.068033, -0.4923957)
(-0.3374825, 2.071224, -0.4929243)
(-0.3353453, 2.075868, -0.4935682)
(-0.3335074, 2.077167, -0.4940864)
(-0.3316471, 2.078465, -0.4944111)
(-0.3294895, 2.07826, -0.4947724)
(-0.3276705, 2.077919, -0.4952273)
(-0.3259866, 2.078932, -0.4959421)
(-0.3245909, 2.078043, -0.4965743)
(-0.3234667, 2.077018, -0.4971548)
(-0.3224978, 2.078163, -0.497671)
(-0.3212554, 2.078546, -0.4982025)
(-0.3202922, 2.079127, -0.4984297)
(-0.3187871, 2.079954, -0.4988979)
(-0.3174484, 2.081032, -0.4992326)
(-0.3163924, 2.081951, -0.4993142)
(-0.31542, 2.082682, -0.4996426)
(-0.314807, 2.082967, -0.4999893)
(-0.3139893, 2.083322, -0.50029)
(-0.3134695, 2.083584, -0.5006021)
(-0.312544, 2.0838, -0.5011299)
(-0.3117695, 2.084047, -0.5014762)
(-0.310515, 2.084112, -0.5021582)
(-0.30958, 2.084166, -0.5026737)
(-0.3086895, 2.084236, -0.5031646)
(-0.3074739, 2.08429, -0.5038635)
(-0.3063819, 2.083778, -0.5045341)
(-0.3053534, 2.083442, -0.5054352)
(-0.3053534, 2.084229, -0.5054352)
(-0.30302, 2.082461, -0.5070731)
(-0.3018371, 2.083406, -0.5079012)
(-0.3010327, 2.084023, -0.5088668)
(-0.3001022, 2.084295, -0.5095655)
(-0.2993913, 2.084362, -0.5103016)
(-0.2985707, 2.084244, -0.5109134)
(-0.297647, 2.084399, -0.5115646)
(-0.2969038, 2.084402, -0.5124205)
(-0.2960484, 2.084774, -0.5130851)
(-0.295251, 2.084854, -0.5137497)
(-0.2946444, 2.08493, -0.5143152)
(-0.2937519, 2.084905, -0.5148554)
(-0.293097, 2.084898, -0.5153193)
(-0.2926653, 2.084859, -0.5157552)
(-0.2919807, 2.084999, -0.5163283)
(-0.2916884, 2.084926, -0.5167336)
(-0.2914856, 2.085062, -0.5171374)
(-0.2914926, 2.085047, -0.5174744)
(-0.2914407, 2.085325, -0.5178672)
(-0.2913128, 2.085684, -0.5181455)
(-0.2914836, 2.085919, -0.5183603)
(-0.2913802, 2.0859, -0.5187157)
(-0.2913933, 2.086151, -0.5188992)
(-0.291416, 2.085822, -0.5192567)
