,foot_start_index,foot_end_index,head_speed_zero_index,head_speed_max_index,head_speed_max_to_foot_end_time,net_start_index,net_speed_max_index,stair_type,walk_speed
0,3.7888509999999997,5.033283,0.566661,0.144443,1.0999889999999999,0.266664,1.211099,stair1,50
1,5.122171,6.22216,0.6666599999999999,0.144443,0.9555459999999999,0.255553,0.33332999999999996,stair1,50
2,1.799982,2.655529,0.46666199999999997,0.044444,0.8111029999999999,0.11110999999999999,0.844436,stair1,50
3,2.711084,3.7221849999999996,0.633327,0.133332,0.8777689999999999,0.23333099999999998,0.311108,stair1,50
4,3.655519,4.744396999999999,0.6666599999999999,0.188887,0.899991,0.288886,0.355552,stair1,50
5,4.799951999999999,5.99994,0.6666599999999999,0.211109,0.988879,0.322219,0.36666299999999996,stair1,50
6,2.277755,3.3333,0.5888829999999999,0.144443,0.911102,0.16666499999999998,0.244442,stair1,50
7,3.3999659999999996,4.411067,0.622216,0.255553,0.755548,0.266664,0.266664,stair1,50
72,2.277755,3.4666319999999997,0.755548,0.266664,0.922213,0.388885,1.144433,stair1,50
73,3.5666309999999997,4.522177,0.5888829999999999,0.188887,0.766659,0.39999599999999996,0.49999499999999997,stair1,50
74,2.33331,3.533298,0.7333259999999999,0.266664,0.9333239999999999,0.411107,1.155544,stair1,50
75,3.588853,4.622176,0.622216,0.244442,0.7888809999999999,0.47777299999999995,0.544439,stair1,50
76,3.1444129999999997,4.255513,0.7222149999999999,0.23333099999999998,0.8777689999999999,0.355552,0.49999499999999997,stair1,50
77,4.322178999999999,5.3555019999999995,0.633327,0.22221999999999997,0.8111029999999999,0.488884,0.533328,stair1,50
78,1.4666519999999998,2.633307,0.6555489999999999,0.288886,0.8777689999999999,0.377774,1.133322,stair1,50
79,2.633307,3.744407,0.699993,0.23333099999999998,0.8777689999999999,0.544439,0.5888829999999999,stair1,50
80,3.5110759999999996,4.6555089999999995,0.688882,0.266664,0.8777689999999999,0.36666299999999996,1.1111,stair1,50
81,4.7110639999999995,5.688832,0.633327,0.244442,0.7333259999999999,0.422218,0.511106,stair1,50
82,2.477753,3.599964,0.6666599999999999,0.29999699999999996,0.822214,0.388885,1.077767,stair1,50
83,3.699963,4.6555089999999995,0.633327,0.244442,0.711104,0.43332899999999996,0.49999499999999997,stair1,50
132,1.22221,2.322199,0.711104,0.344441,0.755548,0.255553,0.377774,stair1,50
133,2.3555319999999997,3.599964,0.7888809999999999,0.255553,0.988879,0.33332999999999996,0.43332899999999996,stair1,50
