,time,y,velY
0,0.0,0.13528151847820022,0.16967782709186724
1,0.011111,0.1377201176999822,0.19457697590674577
2,0.022222,0.14041991515347835,0.21878058828170344
3,0.033333,0.14337665695057578,0.24244500555735018
4,0.044444,0.14659621842877968,0.26610421811500407
5,0.05555499999999999,0.1500795187925956,0.28980219293005705
6,0.066666,0.15382190023015888,0.3133099452438639
7,0.077777,0.1578213639027947,0.3366326376671942
8,0.088888,0.16208312756575696,0.3600976014797257
9,0.09999899999999999,0.1665474649551362,0.3809459922338434
10,0.11110999999999999,0.1712705640464665,0.40301458064263107
11,0.122221,0.17623809111705901,0.42504824390751406
12,0.133332,0.18145380376164905,0.44723353805446947
13,0.144443,0.18693080012495092,0.47008407004882924
14,0.155554,0.19266144149757808,0.49292347560704264
15,0.16666499999999998,0.1986645575964247,0.5166046636808783
16,0.177776,0.20496118162772758,0.5416532467582178
17,0.188887,0.2115706173501056,0.5682542051619375
18,0.19999799999999998,0.2185362401705537,0.5975832640627482
19,0.211109,0.22583507224118754,0.6272423597171737
20,0.22221999999999997,0.2334338723994705,0.6555706064755862
21,0.23333099999999998,0.2413359391947027,0.6833818649888596
22,0.244442,0.24948701719204988,0.7084931103968322
23,0.255553,0.2578378109532921,0.730036032349088
24,0.266664,0.26631670864286283,0.7465722277473421
25,0.277775,0.27483966978288477,0.7568232005455249
26,0.288886,0.28333477873390084,0.7606953259057421
27,0.29999699999999996,0.2917345096514923,0.758339334161198
28,0.311108,0.2999731716456974,0.7499131642548023
29,0.322219,0.3079793229218668,0.7352369923591257
30,0.33332999999999996,0.3156384261812289,0.7122815894817898
31,0.344441,0.32286161920442435,0.6811877312540559
32,0.355552,0.3296212413983877,0.6447799062157853
33,0.36666299999999996,0.335813025887349,0.6010230414420342
34,0.377774,0.34140370403515286,0.5520945532025148
35,0.388885,0.3463677078305951,0.49942968122020537
36,0.39999599999999996,0.3506975029863499,0.4445575710463716
37,0.411107,0.3543147495290743,0.3850565077230076
38,0.422218,0.3571855435295312,0.3217152757522817
39,0.43332899999999996,0.3592164621395179,0.252249889248057
