,time,y,velY,type
0,0.0,0.244043,0.054999341438319804,Head 2
1,0.011111,0.24557700000000016,0.09653036102606956,Head 2
2,0.022222,0.2471460000000001,0.11887088657009229,Head 2
3,0.033333,0.25008200000000014,0.19155676449826053,Head 2
4,0.044444,0.25415500000000013,0.27906521511745863,Head 2
5,0.05555499999999999,0.2587570000000001,0.34662467847943834,Head 2
6,0.066666,0.26373500000000005,0.3973245793621171,Head 2
7,0.077777,0.2705250000000001,0.5042153452116171,Head 2
8,0.088888,0.277339,0.5587407389364663,Head 2
9,0.09999899999999999,0.2849870000000001,0.6235338111026539,Head 2
10,0.11110999999999999,0.29262500000000014,0.6554803426856999,Head 2
11,0.122221,0.30028500000000014,0.6724436183773204,Head 2
12,0.133332,0.30879100000000004,0.7189956369269332,Head 2
13,0.144443,0.3160640000000001,0.6867860913461993,Head 2
14,0.155554,0.32348200000000005,0.6772063838064777,Head 2
15,0.16666499999999998,0.33130800000000016,0.6907767136384613,Head 2
16,0.177776,0.33887900000000015,0.6860867638033002,Head 2
17,0.188887,0.3466070000000001,0.6908068595364245,Head 2
18,0.19999799999999998,0.35387800000000014,0.6726017017509334,Head 2
19,0.211109,0.36066,0.641493902805979,Head 2
20,0.22221999999999997,0.36948500000000006,0.7178759226927061,Head 2
21,0.23333099999999998,0.3754930000000001,0.6293006649733899,Head 2
22,0.244442,0.38208700000000007,0.6113832998163677,Head 2
23,0.255553,0.39034100000000005,0.6771253642453265,Head 2
24,0.266664,0.39667300000000005,0.6235055315511577,Head 2
25,0.277775,0.4030910000000001,0.6005656539044617,Head 2
26,0.288886,0.411783,0.6914267383913417,Head 2
27,0.29999699999999996,0.4180240000000002,0.626561177673763,Head 2
28,0.311108,0.425481,0.6488489445204304,Head 2
29,0.322219,0.43202300000000005,0.6188174161896567,Head 2
30,0.33332999999999996,0.43754800000000005,0.5580361943696912,Head 2
31,0.344441,0.44374900000000017,0.558065887662756,Head 2
32,0.355552,0.44698400000000005,0.42460939959593014,Head 2
33,0.36666299999999996,0.452156,0.44504702722123723,Head 2
34,0.377774,0.4572480000000001,0.4516658050335372,Head 2
35,0.388885,0.46342300000000014,0.5037106812945583,Head 2
36,0.39999599999999996,0.4683360000000001,0.4729425515193854,Head 2
37,0.411107,0.47341600000000006,0.46507356178255177,Head 2
38,0.422218,0.47909500000000005,0.4880943364668312,Head 2
39,0.43332899999999996,0.483031,0.4211689394511251,Head 2
40,0.44443999999999995,0.48734600000000006,0.40476141149498335,Head 2
41,0.455551,0.49084700000000003,0.35992728121324524,Head 2
42,0.46666199999999997,0.49425200000000014,0.33319017287194985,Head 2
43,0.47777299999999995,0.49729900000000016,0.30371145759968754,Head 2
44,0.488884,0.5000800000000001,0.2770019802623549,Head 2
45,0.49999499999999997,0.5026970000000002,0.2562671677929582,Head 2
46,0.511106,0.5056160000000001,0.25948989745961,Head 2
47,0.5222169999999999,0.5088240000000002,0.2741063923442456,Head 2
48,0.533328,0.511938,0.2771845974861287,Head 2
49,0.544439,0.514874,0.27071361995627874,Head 2
50,0.55555,0.517487,0.25294298583989694,Head 2
51,0.566661,0.5199990000000001,0.23951262333125573,Head 2
52,0.577772,0.5212560000000002,0.1763218773212873,Head 2
53,0.5888829999999999,0.5230870000000001,0.17055676261887945,Head 2
54,0.5999939999999999,0.5233480000000001,0.09702349876061724,Head 2
55,0.611105,0.5234770000000002,0.05431680743089118,Head 2
56,0.622216,0.5227570000000001,-0.005241920287796874,Head 2
57,0.633327,0.521722,-0.04919642589856135,Head 2
58,0.644438,0.521296,-0.04376840465119938,Head 2
59,0.6555489999999999,0.5195590000000001,-0.10004998398341076,Head 2
60,0.6666599999999999,0.5178790000000002,-0.12562574799926113,Head 2
0,0.0,0.22716199999999986,0.08470638950155608,Head 2
1,0.011111,0.228804,0.11624393365817356,Head 2
2,0.022222,0.23119299999999998,0.16562804188983626,Head 2
3,0.033333,0.23418699999999992,0.21754536825838863,Head 2
